time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2023-05-31 00:00:00,29.2,25,78,0.2,,232,16.7,,1003.8,,18
2023-05-31 01:00:00,29,25.2,80,0,,232,16.7,,1003.3,,18
2023-05-31 02:00:00,28.8,25.2,81,0.2,,232,16.7,,1002.8,,18
2023-05-31 03:00:00,28.9,25.3,81,0.2,,230,16.7,,1002.7,,7
2023-05-31 04:00:00,29.1,25.3,80,0,,228,16.7,,1002.6,,7
2023-05-31 05:00:00,29.2,25.2,79,0.2,,226,16.7,,1002.6,,7
2023-05-31 06:00:00,29,26,84,0.1,,225,13,,1003.4,,7
2023-05-31 07:00:00,29.4,26,82,0,,222,14.8,,1003.8,,7
2023-05-31 08:00:00,29.9,26.1,80,0,,221,18.5,,1004.2,,7
2023-05-31 09:00:00,30.1,25.8,78,0.1,,223,20.4,,1004.2,,7
2023-05-31 10:00:00,30.4,25.9,77,0.1,,225,22.2,,1004.3,,18
2023-05-31 11:00:00,30.7,26,76,0,,226,24.1,,1004.4,,18
2023-05-31 12:00:00,30.9,25.7,74,0.2,,223,22.2,,1004.1,,18
2023-05-31 13:00:00,30.8,25.9,75,0.4,,224,22.2,,1003.7,,18
2023-05-31 14:00:00,30.8,26.1,76,0,,226,24.1,,1003.3,,18
2023-05-31 15:00:00,30.5,26,77,0,,228,24.1,,1003.1,,8
2023-05-31 16:00:00,30.1,25.8,78,0,,230,24.1,,1002.9,,8
2023-05-31 17:00:00,29.8,25.8,79,0,,232,22.2,,1002.7,,8
2023-05-31 18:00:00,29.8,26,80,0,,247,20.4,,1003.9,,4
2023-05-31 19:00:00,29.5,25.9,81,0,,241,18.5,,1004.3,,18
2023-05-31 20:00:00,29.3,25.9,82,0,,235,18.5,,1004.8,,18
2023-05-31 21:00:00,29.2,25.8,82,0,,235,18.5,,1004.9,,7
2023-05-31 22:00:00,29.1,25.7,82,0,,235,16.7,,1005.1,,7
2023-05-31 23:00:00,29,25.8,83,0,,235,16.7,,1005.3,,7
2023-06-01 00:00:00,28.9,25.7,83,0,,229,13,,1004.8,,18
2023-06-01 01:00:00,28.8,25.8,84,0,,228,13,,1004.3,,18
2023-06-01 02:00:00,28.6,25.8,85,0,,228,13,,1003.9,,7
2023-06-01 03:00:00,28.7,25.9,85,0,,228,13,,1003.8,,7
2023-06-01 04:00:00,28.8,25.8,84,0,,228,13,,1003.7,,7
2023-06-01 05:00:00,28.9,25.9,84,0,,228,13,,1003.7,,7
2023-06-01 06:00:00,29.4,26.2,83,0,,222,9.3,,1004.7,,4
2023-06-01 07:00:00,29.7,26.1,81,0,,222,11.1,,1005.1,,3
2023-06-01 08:00:00,30.1,26.1,79,0,,222,13,,1005.5,,3
2023-06-01 09:00:00,30.5,26,77,0,,223,14.8,,1005.5,,3
2023-06-01 10:00:00,30.9,26.2,76,0.5,,223,16.7,,1005.5,,3
2023-06-01 11:00:00,31.3,26.1,74,0,,224,18.5,,1005.6,,3
2023-06-01 12:00:00,31.5,26.1,73,0,,226,18.5,,1005.3,,3
2023-06-01 13:00:00,31.5,26.1,73,0,,226,20.4,,1004.9,,3
2023-06-01 14:00:00,31.4,26.2,74,0,,226,20.4,,1004.5,,18
2023-06-01 15:00:00,30.9,26.2,76,0.4,,226,20.4,,1004.5,,18
2023-06-01 16:00:00,30.5,26.2,78,0,,226,20.4,,1004.5,,18
2023-06-01 17:00:00,30.1,26.3,80,0.2,,225,20.4,,1004.5,,18
2023-06-01 18:00:00,29.7,26.1,81,0,,225,18.5,,1005.1,,18
2023-06-01 19:00:00,29.4,26,82,0,,225,16.7,,1005.8,,18
2023-06-01 20:00:00,29,25.8,83,0,,225,14.8,,1006.5,,18
2023-06-01 21:00:00,28.9,25.7,83,0,,223,13,,1006.9,,18
2023-06-01 22:00:00,28.8,25.6,83,0.1,,220,13,,1007.2,,18
2023-06-01 23:00:00,28.7,25.7,84,0,,217,13,,1007.6,,18
2023-06-02 00:00:00,28.6,25.8,85,0,,216,9.3,,1007.3,,18
2023-06-02 01:00:00,28.5,25.9,86,0,,216,11.1,,1006.8,,18
2023-06-02 02:00:00,28.4,26,87,0.2,,216,11.1,,1006.4,,18
2023-06-02 03:00:00,28.3,25.9,87,0.4,,215,11.1,,1006.3,,18
2023-06-02 04:00:00,28.3,25.9,87,0.4,,214,11.1,,1006.3,,7
2023-06-02 05:00:00,28.3,25.9,87,1.2,,213,11.1,,1006.3,,3
2023-06-02 06:00:00,28.5,25.5,84,0.3,,198,5.5,,1007.1,,3
2023-06-02 07:00:00,29,25.8,83,0.6,,206,7.4,,1007.6,,3
2023-06-02 08:00:00,29.5,26.1,82,3.4,,210,9.3,,1008,,3
2023-06-02 09:00:00,30.1,26.1,79,0,,217,11.1,,1008,,3
2023-06-02 10:00:00,30.7,26,76,0.4,,222,13,,1008,,3
2023-06-02 11:00:00,31.2,26,74,0.1,,226,14.8,,1008,,3
2023-06-02 12:00:00,31.4,26.2,74,0,,228,14.8,,1008,,3
2023-06-02 13:00:00,31.3,26.3,75,0.1,,228,16.7,,1007.5,,3
2023-06-02 14:00:00,31.3,26.3,75,2.6,,228,18.5,,1007,,3
2023-06-02 15:00:00,30.8,26.5,78,0.1,,226,18.5,,1007,,3
2023-06-02 16:00:00,30.4,26.3,79,3.2,,224,18.5,,1007,,18
2023-06-02 17:00:00,29.9,26.5,82,4.6,,222,16.7,,1007,,18
2023-06-02 18:00:00,29.4,26,82,3,,234,13,,1008,,25
2023-06-02 19:00:00,29,26,84,1.2,,230,13,,1008.5,,25
2023-06-02 20:00:00,28.6,25.8,85,2.5,,227,11.1,,1009,,18
2023-06-02 21:00:00,28.5,25.9,86,0.2,,224,11.1,,1009.2,,18
2023-06-02 22:00:00,28.3,25.7,86,0.2,,220,9.3,,1009.4,,18
2023-06-02 23:00:00,28.2,25.8,87,0,,211,7.4,,1009.6,,18
2023-06-03 00:00:00,27.8,25.4,87,0,,197,5.5,,1009.3,,18
2023-06-03 01:00:00,27.7,25.5,88,0,,190,5.5,,1008.8,,18
2023-06-03 02:00:00,27.7,25.5,88,0,,185,3.7,,1008.3,,18
2023-06-03 03:00:00,27.7,25.5,88,0.3,,182,3.7,,1008.3,,18
2023-06-03 04:00:00,27.6,25.4,88,0,,178,3.7,,1008.2,,18
2023-06-03 05:00:00,27.6,25.4,88,0,,174,3.7,,1008.2,,18
2023-06-03 06:00:00,28.2,25.4,85,0,,182,3.7,,1009,,3
2023-06-03 07:00:00,28.6,25.4,83,0,,201,5.5,,1009.4,,3
2023-06-03 08:00:00,28.9,25.5,82,0,,207,7.4,,1009.7,,3
2023-06-03 09:00:00,29.6,25.6,79,0,,222,7.4,,1009.7,,3
2023-06-03 10:00:00,30.2,25.5,76,0,,231,9.3,,1009.7,,3
2023-06-03 11:00:00,30.8,25.6,74,0,,237,11.1,,1009.7,,3
2023-06-03 12:00:00,30.7,25.3,73,2.3,,236,11.1,,1009.2,,3
2023-06-03 13:00:00,30.9,25.5,73,2.4,,235,13,,1008.7,,18
2023-06-03 14:00:00,31.1,25.5,72,0,,235,14.8,,1008.1,,18
2023-06-03 15:00:00,30.6,25.7,75,0,,229,13,,1007.9,,18
2023-06-03 16:00:00,30.2,25.7,77,0,,224,13,,1007.8,,18
2023-06-03 17:00:00,29.7,25.9,80,0.2,,218,13,,1007.6,,18
2023-06-03 18:00:00,29,25.4,81,0.5,,239,9.3,,1008.5,,18
2023-06-03 19:00:00,28.6,25.4,83,3.5,,225,9.3,,1009,,18
2023-06-03 20:00:00,28.2,25.2,84,2,,207,9.3,,1009.5,,18
2023-06-03 21:00:00,28.1,25.3,85,0.1,,194,7.4,,1009.7,,18
2023-06-03 22:00:00,27.9,25.1,85,0,,158,7.4,,1009.9,,18
2023-06-03 23:00:00,27.8,25.2,86,0,,98,3.7,,1010.2,,18
2023-06-04 00:00:00,28,24.6,82,2.1,,78,5.5,,1009.8,,3
2023-06-04 01:00:00,27.8,24.6,83,0,,88,5.5,,1009.3,,3
2023-06-04 02:00:00,27.6,24.7,84,0,,101,3.7,,1008.9,,3
2023-06-04 03:00:00,27.4,24.7,85,0.1,,83,3.7,,1008.7,,3
2023-06-04 04:00:00,27.3,24.6,85,0,,65,3.7,,1008.5,,3
2023-06-04 05:00:00,27.1,24.6,86,0,,51,3.7,,1008.3,,3
2023-06-04 06:00:00,28,24.2,80,0.5,,89,3.7,,1008.9,,3
2023-06-04 07:00:00,28.5,24.5,79,0.1,,121,3.7,,1009.2,,3
2023-06-04 08:00:00,29,24.6,77,0,,156,5.5,,1009.5,,3
2023-06-04 09:00:00,29.7,24.8,75,0.2,,197,5.5,,1009.4,,3
2023-06-04 10:00:00,30.4,24.8,72,0.2,,223,7.4,,1009.3,,3
2023-06-04 11:00:00,31.1,25,70,0.1,,236,9.3,,1009.2,,3
2023-06-04 12:00:00,31.2,24.8,69,0,,224,9.3,,1008.5,,3
2023-06-04 13:00:00,31.3,24.7,68,0,,213,9.3,,1007.8,,18
2023-06-04 14:00:00,31.5,24.6,67,8.5,,205,11.1,,1007.1,,18
2023-06-04 15:00:00,31,24.6,69,0.7,,193,11.1,,1006.9,,18
2023-06-04 16:00:00,30.4,24.8,72,0.2,,181,9.3,,1006.8,,18
2023-06-04 17:00:00,29.9,24.8,74,0,,171,9.3,,1006.6,,25
2023-06-04 18:00:00,29.7,24.8,75,0.1,,200,7.4,,1007.4,,18
2023-06-04 19:00:00,29.2,24.8,77,0.1,,175,7.4,,1007.8,,18
