,,Live speed (km/h),Usual time per 10 km (s),Live time per 10 km (s),Temperature (°C),Weather,Wind (km/h),Wind direction (°),Humidity (%),Barometer (mbar),Visibility (km)
05/31/2023,00:00,31.0,1150,1160,30,Passing clouds.,6,320,83,1004,8
Wed,01:00,34.0,1078,1057,28,Overcast.,4,320,81,1002,8
,02:00,35.4,1023,1015,28,Overcast.,4,320,81,1002,8
,03:00,36.3,983,991,28,Overcast.,4,320,81,1002,8
,04:00,35.2,1017,1021,29,Overcast.,4,320,78,1003,8
,05:00,31.7,1146,1134,29,Overcast.,4,320,78,1003,8
,06:00,25.5,1399,1409,29,Overcast.,4,320,78,1003,8
,07:00,20.8,1684,1726,30,Partly sunny.,6,310,71,1004,8
,08:00,20.5,1707,1759,30,Partly sunny.,6,310,71,1004,8
,09:00,20.6,1707,1749,30,Partly sunny.,6,310,71,1004,8
,10:00,20.2,1665,1784,33,Overcast.,6,240,65,1004,8
,11:00,20.1,1671,1793,33,Overcast.,6,240,65,1004,8
,12:00,20.1,1659,1793,33,Overcast.,6,240,65,1004,8
,13:00,21.3,1625,1686,33,Overcast.,6,180,65,1002,8
,14:00,20.0,1702,1797,33,Overcast.,6,180,65,1002,8
,15:00,19.5,1758,1848,33,Overcast.,6,180,65,1002,8
,16:00,17.4,1866,2070,29,Thunderstorms. Overcast.,0,0,83,1003,8
,17:00,15.5,1995,2318,29,Thunderstorms. Overcast.,0,0,83,1003,8
,18:00,14.8,1961,2434,29,Thunderstorms. Overcast.,0,0,83,1003,8
,19:00,15.0,1902,2404,29,Passing clouds.,6,180,83,1005,8
,20:00,17.4,1665,2063,29,Passing clouds.,6,180,83,1005,8
,21:00,19.9,1442,1806,29,Passing clouds.,6,180,83,1005,8
,22:00,22.6,1292,1592,30,Passing clouds.,4,330,80,1005,8
,23:00,25.6,1212,1406,30,Passing clouds.,4,330,80,1005,8
06/01/2023,00:00,30.1,1166,1197,30,Passing clouds.,4,330,80,1005,8
Thu,01:00,33.4,1098,1078,29,Passing clouds.,4,250,76,1004,8
,02:00,35.8,1028,1004,29,Passing clouds.,4,250,76,1004,8
,03:00,37.0,983,973,29,Passing clouds.,4,250,76,1004,8
,04:00,35.0,1030,1027,29,Passing clouds.,4,340,82,1004,8
,05:00,31.5,1165,1143,29,Passing clouds.,4,340,82,1004,8
,06:00,25.7,1389,1401,29,Passing clouds.,4,340,82,1004,8
,07:00,21.6,1624,1667,30,Scattered clouds.,4,270,79,1006,8
,08:00,20.8,1661,1732,30,Scattered clouds.,4,270,79,1006,8
,09:00,21.0,1638,1714,30,Scattered clouds.,4,270,79,1006,8
,10:00,20.4,1646,1763,32,Scattered clouds.,6,20,70,1006,8
,11:00,20.7,1626,1736,32,Scattered clouds.,6,20,70,1006,8
,12:00,21.1,1605,1708,32,Scattered clouds.,6,20,70,1006,8
,13:00,21.8,1613,1650,32,Partly sunny.,6,270,68,1005,8
,14:00,20.9,1686,1722,32,Partly sunny.,6,270,68,1005,8
,15:00,20.3,1749,1774,32,Partly sunny.,6,270,68,1005,8
,16:00,19.5,1827,1848,32,Overcast.,4,320,73,1006,7
,17:00,17.8,1967,2025,32,Overcast.,4,320,73,1006,7
